id,place,address,category,age,withnum,house,foodprice,nature,history,resting,performance,culture,leports,shopping,food
79,롯데백화점/건대스타시티점,서울 광진구 능동로 90-0,쇼핑,,1234,,,,,,,,,,
80,어린이대공원,서울 광진구 능동로 216-0,휴양관광지,,1234,,,,,6,,,,,
81,뚝섬유원지,서울 광진구,휴양관광지,,1234,,,,,4,,,,,
82,롯데마트/강변점,서울 광진구 광나루로56길 85-0,쇼핑,,1234,,,,,,,,,,
83,커먼그라운드,서울 광진구 아차산로 200-0,쇼핑,,1234,,,,,,,,,,
84,스타시티,서울 광진구 아차산로 272-0,쇼핑,,1234,,,,,,,,,,
85,뚝섬한강공원,서울 광진구 강변북로 2273-0,자연관광지,,1234,,,12,,,,,,,
86,광진정보도서관,서울 광진구 아차산로78길 90-0,문화시설,,123,,,,,,,,,,
87,중곡제일시장,서울 광진구 긴고랑로11길 14-0,쇼핑,,1234,,,,,,,,,,
88,자양전통시장,서울 광진구 자양로13길 72-0,쇼핑,,1234,,,,,,,,,,
89,노룬산골목시장,서울 광진구,쇼핑,,1234,,,,,,,,,,
90,영화사,서울 광진구 영화사로 107-0,역사관광지,,134,,,,,,,,,,
91,롯데하이마트/아차산역점,서울 광진구 천호대로 670-0,쇼핑,,1234,,,,,,,,,,
92,동서울그랜드볼링센터,서울 광진구 강변역로 50-0,레포츠(육상/해상/항공),,234,,,,,,,,,,
93,신성종합시장,서울 광진구 용마산로 50-0,쇼핑,,1234,,,,,,,,,,
94,한아름볼링프라자,서울 광진구 능동로13길 39-0,레포츠(육상/해상/항공),,234,,,,,,,,,,
95,롯데하이마트/건대입구점,서울 광진구 아차산로 300-1,쇼핑,,1234,,,,,,,,,,
96,자양한강도서관,서울 광진구 뚝섬로52길 66-0,문화시설,,1234,,,,,,,,,,
97,삼성디지털프라자/광진점,서울 광진구 능동로 252-0,쇼핑,,1234,,,,,,,,,,
98,아차산배수지체육공원,서울 광진구 천호대로 731-0,자연관광지,,1234,,,2,,,,,,,
99,우리유황온천,서울 광진구 자양로5길 33-0,휴양관광지,,234,,,,,2,,,,,
100,구의야구공원,서울 광진구 광나루로 571-0,기타관광지,,234,,,2,,,,,,,
101,LG전자베스트샵/건대입구점,서울 광진구 아차산로 302-0,쇼핑,,34,,,,,,,,,,
